Title,Author
Fundamentals of Wavelets,Jaideva Goswami
Data Smart,John Foreman
God Created the Integers,Stephen Hawking
Superfreakonomics,Stephen Dubner
Orientalism,Edward Said
The Nature of Statistical Learning Theory,Vladimir Vapnik
Integration of the Indian States,V. P. Menon
The Drunkard's Walk,Leonard Mlodinow
Image Processing & Mathematical Morphology,Frank Shih
How to Think Like Sherlock Holmes,Maria Konnikova
Data Scientists at Work,Sebastian Gutierrez
Slaughterhouse Five,Kurt Vonnegut
Birth of a Theorem,Cedric Villani
Structure & Interpretation of Computer Programs,Gerald Sussman
The Age of Wrath,Abraham Eraly
The Trial,Frank Kafka
Statistical Decision Theory,John Pratt
Data Mining Handbook,Robert Nisbet
The New Machiavelli,H. G. Wells
Physics & Philosophy,Werner Heisenberg
Making Software,Andy Oram
Vol I Analysis,Terence Tao
Machine Learning for Hackers,Drew Conway
The Signal and the Noise,Nate Silver
Python for Data Analysis,Wes McKinney
Introduction to Algorithms,Thomas Cormen
The Beautiful and the Damned,Siddhartha Deb
The Outsider,Albert Camus
The Complete Sherlock Holmes - Vol I,Arthur Conan Doyle
The Complete Sherlock Holmes - Vol II,Arthur Conan Doyle
The Wealth of Nations,Adam Smith
The Pillars of the Earth,Ken Follett
Mein Kampf,Adolf Hitler
The Tao of Physics,Fritjof Capra
Surely You're Joking Mr. Feynman,Richard Feynman
A Farewell to Arms,Ernest Hemingway
The Veteran,Frederick Forsyth
False Impressions,Jeffery Archer
The Last Lecture,Randy Pausch
Return of the Primitive,Ayn Rand
Jurassic Park,Michael Crichton
A Russian Journal,John Steinbeck
Tales of Mystery and Imagination,Edgar Allen Poe
Freakonomics,Stephen Dubner
The Hidden Connections,Fritjof Capra
The Story of Philosophy,Will Durant
Asami Asami,P. L. Deshpande
Journal of a Novel,John Steinbeck
Once There Was a War,John Steinbeck
The Moon is Down,John Steinbeck
The Brethren,John Grisham
In a Free State,V. S. Naipaul
Catch 22,Joseph Heller
Complete Mastermind,BBC The
Dylan on Dylan,Bob Dylan
Soft Computing & Intelligent Systems,Madan Gupta
Textbook of Economic Theory,Alfred Stonier
Econometric Analysis,W. H. Greene
Learning OpenCV,Gary Bradsky
Data Structures Using C & C++,Andrew Tanenbaum
A Modern Approach Computer Vision,David Forsyth
Principles of Communication Systems,Schilling Taub
Let Us C,Yashwant Kanetkar
The Amulet of Samarkand,Jonathan Stroud
Crime and Punishment,Fyodor Dostoevsky
Angels & Demons,Dan Brown
The Argumentative Indian,Amartya Sen
Sea of Poppies,Amitav Ghosh
The Idea of Justice,Amartya Sen
A Raisin in the Sun,Lorraine Hansberry
All the President's Men,Bob Woodward
A Prisoner of Birth,Jeffery Archer
Scoop!,Kuldip Nayar
Ahe Manohar Tari,Sunita Deshpande
The Last Mughal,William Dalrymple
Social Choice & Welfare,Various Vol 39 No. 1
Radiowaril Bhashane & Shrutika,P. L. Deshpande
Gun Gayin Awadi,P. L. Deshpande
Aghal Paghal,P. L. Deshpande
Maqta-e-Ghalib,Sanjay Garg
Beyond Degrees
Manasa,V P Kale
India from Midnight to Milennium,Shashi Tharoor
World's Greatest Trials, The
The Great Indian Novel,Shashi Tharoor
O Jerusalem!,Dominique Lapierre
The City of Joy,Dominique Lapierre
Freedom at Midnight,Dominique Lapierre
The Winter of Our Discontent,John Steinbeck
On Education,Bertrand Russell
Free Will,Sam Harris
Bookless in Baghdad,Shashi Tharoor
The Case of the Lame Canary,Earle Stanley Gardner
The Theory of Everything,Stephen Hawking
New Markets & Other Essays,Peter Drucker
Electric Universe,David Bodanis
The Hunchback of Notre Dame,Victor Hugo
Burning Bright,John Steinbeck
The Age of Discontuinity,Peter Drucker
Doctor in the Nude,Richard Gordon
Down and Out in Paris & London,George Orwell
Identity & Violence,Amartya Sen
Beyond the Three Seas,William Dalrymple
World's Greatest Short Stories, The
Talking Straight,Lee Iacoca
Vol 3 Maugham's Collected Short Stories,William S Maugham
The Phantom of Manhattan,Frederick Forsyth
Ashenden of The British Agent,William S Maugham
Zen & The Art of Motorcycle Maintenance,Robert Pirsig
The Great War for Civilization,Robert Fisk
We the Living,Ayn Rand
The Artist and the Mathematician,Amir Aczel
History of Western Philosophy,Bertrand Russell
Selected Short Stories
Rationality & Freedom,Amartya Sen
Clash of Civilizations and Remaking of the World Order,Samuel Huntington
Uncommon Wisdom,Fritjof Capra
One,Richard Bach
Karl Marx Biography
To Sir With Love,Braithwaite
Half A Life,V S Naipaul
The Discovery of India,Jawaharlal Nehru
Apulki,P. L. Deshpande
Unpopular Essays,Bertrand Russell
The Deceiver,Frederick Forsyth
Veil: Secret Wars of the CIA,Bob Woodward
Char Shabda,P. L. Deshpande
Rosy is My Relative,Gerald Durrell
The Moon and Sixpence,William S Maugham
Political Philosophers
A Short History of the World,H. G. Wells
The Trembling of a Leaf,William S Maugham
Doctor on the Brain,Richard Gordon
Simpsons & Their Mathematical Secrets,Simon Singh
Pattern Classification,Hart Duda
From Beirut to Jerusalem,Thomas Friedman
The Code Book,Simon Singh
The Age of the Warrior,Robert Fisk
Final Crisis
The Killing Joke
Flashpoint
Batman Earth One
Crisis on Infinite Earths
The Numbers Behind Numb3rs,Keith Devlin
Superman Earth One - 1
Superman Earth One - 2
Justice League: Throne of Atlantis
Justice League: The Villain's Journey
The Death of Superman
History of the DC Universe
Batman: The Long Halloween
A Life in Letters,John Steinbeck
The Information,James Gleick
Journal of Economics vol 106 No 3
Elements of Information Theory,Joy Thomas
Power Electronics - Rashid,Muhammad Rashid
Power Electronics - Mohan,Ned Mohan
Neural Networks,Simon Haykin
The Grapes of Wrath,John Steinbeck
Vyakti ani Valli,P. L. Deshpande
Statistical Learning Theory,Vladimir Vapnik
Empire of the Mughal - The Tainted Throne,Alex Rutherford
Empire of the Mughal - Brothers at War,Alex Rutherford
Empire of the Mughal - Ruler of the World,Alex Rutherford
Empire of the Mughal - The Serpent's Tooth,Alex Rutherford
Empire of the Mughal - Raiders from the North,Alex Rutherford
Mossad,Michael Baz-Zohar
Jim Corbett Omnibus,Jim Corbett
20000 Leagues Under the Sea,Jules Verne
Batatyachi Chal,P. L. Deshpande
Hafasavnuk,P. L. Deshpande
Urlasurla,P. L. Deshpande
Pointers in C,Yashwant Kanetkar
The Cathedral and the Bazaar,Eric Raymond
Design with OpAmps,Sergio Franco
Think Complexity,Allen Downey
The Devil's Advocate,Morris West
Ayn Rand Answers,Ayn Rand
Philosophy: Who Needs It,Ayn Rand
The World's Great Thinkers
Data Analysis with Open Source Tools,Phillip Janert
Broca's Brain,Carl Sagan
Men of Mathematics,E. T. Bell
Oxford book of Modern Science Writing,Richard Dawkins
Judiciary and Democracy Justice,Sudhanshu Ranjan
The Arthashastra,Kautiyla
We the People,Palkhivala
We the Nation,Palkhivala
The Courtroom Genius,Sorabjee
Dongri to Dubai,Hussain Zaidi
Foundation History of England,Peter Ackroyd
City of Djinns,William Dalrymple
India's Legal System,Nariman
More Tears to Cry,Jean Sassoon
The Ropemaker,Peter Dickinson
Angels & Demons,Dan Brown
The Judge
The Attorney
The Prince,Machiavelli
Eyeless in Gaza,Aldous Huxley
Tales of Beedle the Bard,J. K. Rowling
Girl with the Dragon Tattoo,Steig Larsson
Girl who kicked the Hornet's Nest,Steig Larsson
Girl who played with Fire,Steig Larsson
Batman Handbook
Murphy's Law
Structure and Randomness,Terence Tao
Image Processing with MATLAB,Steve Eddins
Animal Farm,George Orwell
The Idiot,Fyodor Dostoevsky
A Christmas Carol,Charles Dickens
